Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
1	Feasibility and Effectiveness of Inotuzumab Ozogamicin in B-Cell Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Acute Lymphoid Leukemia	Drug: Inotuzumab Ozogamicin (IO)	Aou Ospedali Riuniti "Umberto I - G.M. Lancisi - G. Salesi"- Ancona- Sod Clinica Ematologica, Ancona, Italy|As Dell'Alto Adige, Ospedale Centrale Di Bolzano - Ematologia E Centro Trapianto Midollo Osseo, Bolzano, Italy|Irccs Aou San Martino - Genova - Uo Clinica Ematologica, Genova, Italy|Asl Lecce, Ospedale 'V. Fazzi' - Uo Ematologia, Lecce, Italy|I.R.S.T. Srl Irccs - Meldola - Sc Oncologia Medica, Meldola, Italy|Istituto Europeo Di Oncologia Irccs - Milano - Divisione Di Oncoematologia, Milano, Italy|Ao Ospedali Riuniti Villa Sofia Cervello - Palermo - Uo Ematologia Con Utmo, Palermo, Italy|Fondazione Ircss Policlinico San Matteo - Pavia - Uo Ematologia, Pavia, Italy|Asl Pescara, Presidio Ospedaliero 'Spirito Santo' - Uoc Ematologia Clinica, Pescara, Italy|Ausl Della Romagna, Ospedale "Infermi" - Rimini - Uo Ematologia, Rimini, Italy|Asl Roma 2, Ospedale S. Eugenio- Ospedale S.Eugenio - Uoc Ematologia, Roma, Italy|Università Degli Studi Di Roma "Sapienza" - Dipartimento Di Medicina Traslazionale E Di Precisione - U.O.C. Ematologia, Roma, Italy|Aou "San Giovanni Di Dio E Ruggi D'Aragona" - Salerno - Uoc Ematologia E Trapianti Di Cellule Staminali Emopoietiche, Salerno, Italy|Aou Senese - Uoc Ematologia E Trapianti, Siena, Italy|Aou Città Della Salute E Della Scienza, Ospedale S. Giovanni Battista Molinette - Torino - Sc Ematologia 2, Torino, Italy|Unità Operativa Di Ematologia - Presidio Ospedaliero Di Treviso - Azienda Ulss N.2 Marca Trevigiana, Treviso, Italy|Asui Di Udine - Presidio Ospedaliero "Santa Maria Della Misericordia" - Clinica Ematologica, Udine, Italy|Aou Integrata Di Verona, Policlinico G.B. Rossi - Uoc Ematologia, Verona, Italy	https://ClinicalTrials.gov/show/NCT03610438
2	Childhood Acute Lymphoblastic Leukemia Treatment Protocol Moscow-Berlin 2015 (ALL-MB 2015)	Recruiting	No Results Available	Childhood Acute Lymphoblastic Leukemia	Drug: Dexamethasone continuous|Drug: Dexamethasone intermittent|Drug: Dexamethasone|Drug: Methylprednisolone|Drug: Daunorubicin|Drug: Idarubicin|Drug: Bortezomib|Drug: Second phase of induction|Drug: Standard induction therapy|Drug: Standard consolidation therapy	prof. R.O.Eolyan Hematology Center, Ereván, Armenia|Republican Research and Practical Center of Radiation Medicine and Human Ecology, Gomel, Belarus|Republic Research and Practical Center of Pediatric Oncology, Hematology and Immunology, Minsk, Belarus|Mogilev Regional Children's Hospital, Mogilev, Belarus|National Oncology and Hematology Center, Ministry of Health of the Kyrgyz Republic, Bishkek, Kyrgyzstan|Arkhangelsk Regional Clinical Children's Hospital, Arkhangelsk, Russian Federation|Regional Clinical Children's Hospital, Astrakhan, Russian Federation|Altay Regional Clinical Children's Hospital, Barnaul, Russian Federation|Amur Regional Clinical Children's Hospital, Blagoveshchensk, Russian Federation|Bryansk Regional Children's Hospital, Bryansk, Russian Federation|Chelyabinsk Regional Clinical Children's Hospital, Chelyabinsk, Russian Federation|Transbaikal Regional Oncology Dispensary, Chita, Russian Federation|Irkutsk Regional Children Clinical Hospital, Irkutsk, Russian Federation|Ivanovo Regional Clinical Hospital, Ivanovo, Russian Federation|Republic Clinical Children's Hospital, Izhevsk, Russian Federation|Regional Clinical Children's Hospital, Khabarovsk, Russian Federation|Kirov Research Institute of Hematology and Blood Transfusion, Kirov, Russian Federation|Regional Clinical Children's Hospital, Krasnodar, Russian Federation|Krasnoyarsk Territorial Clinical Children's Hospital, Krasnoyarsk, Russian Federation|Kurgan Regional Clinical Children's Hospital, Kurgan, Russian Federation|Regional Clinical Children's Hospital, Kursk, Russian Federation|Regional Children's Hospital, Lipetsk, Russian Federation|Republic Children's Clinical Hospital, Makhachkala, Russian Federation|Morozov Children's Municipal Clinical Hospital, Moscow, Russian Federation|Research Institute of Pediatric Hematology, Oncology and Immunology named after Dmitry Rogachev, Moscow, Russian Federation|Russian Children's Clinical Hospital, Moscow, Russian Federation|Murmansk Clinical Children's Hospital, Murmansk, Russian Federation|Republic Clinical Children's Hospital, Nal'chik, Russian Federation|Nizhnevartovsk Regional Clinical Children's Hospital, Nizhnevartovsk, Russian Federation|Regional Clinical Children's Hospital, Nizhny Novgorod, Russian Federation|Novokuznetsk Municipal Clinical Children's Hospital N4, Novokuznetsk, Russian Federation|Novosibirsk Central District Clinical Hospital, Novosibirsk, Russian Federation|Orenburg Regional Clinical Oncology Dispensary, Orenburg, Russian Federation|Regional Clinical Children's Hospital, Orël, Russian Federation|Perm Territorial Clinical Children's Hospital, Perm, Russian Federation|Regional Clinical Children's Hospital, Rostov-on-Don, Russian Federation|Rostov Research Institute of Oncology, Rostov-on-Don, Russian Federation|N. Dmitrieva Ryazan Regional Clinical Children's Hospital, Ryazan, Russian Federation|Almazov National Medical Research Center, Saint Petersburg, Russian Federation|Children's Municipal Hospital N1, Saint Petersburg, Russian Federation|Municipal Clinical Hospital N31, Saint Petersburg, Russian Federation|N.N.Petrov National Medical Research Oncology Center, Saint Petersburg, Russian Federation|R. Gorbacheva Research Institute of Pediatric Hematology and Transfusiology; Pavlov First Saint-Petersburg State Medical University, Saint Petersburg, Russian Federation|Municipal Clinical Children's Hospital N1, Samara, Russian Federation|Regional Children's Clinical Hospital, Stavropol, Russian Federation|Surgut Regional Clinical Hospital, Surgut, Russian Federation|Republic Clinical Children's Hospital, Syktyvkar, Russian Federation|Tomsk Regional Clinical Hospital, Tomsk, Russian Federation|Tula Regional Clinical Children's Hospital, Tula, Russian Federation|Republic Clinical Children's Hospital, Ulan-Ude, Russian Federation|Ulyanovsk Regional Children's Clinical Hospital, Ulyanovsk, Russian Federation|Regional Children's Clinical Hospital N1, Territorial Children's Hematological Center, Vladivostok, Russian Federation|Vologda Regional Clinical Children's Hospital, Vologda, Russian Federation|Voronezh Regional Clinical Children's Hospital N1, Voronezh, Russian Federation|Republic Hospital N1 - National Medicine Centre, Yakutsk, Russian Federation|Regional Clinical Children's Hospital, Yaroslavl, Russian Federation|Regional Clinical Children's Hospital N1; Children Oncology and hematology Center, Yekaterinburg, Russian Federation|Research Institute of Hematology and Blood Transfusion, Tashkent, Uzbekistan	https://ClinicalTrials.gov/show/NCT03390387
3	Anti-CD19 CAR-T Cells for Relapsed or Refractory Acute Lymphoblastic Leukemia and Lymphomas	Recruiting	No Results Available	Acute Lymphoblastic Leukemia ,Lymphomas	Biological: Anti-CD19 CAR-T	The First Affiliated Hospital of Nangchang University, Nanchang, Jiangxi, China	https://ClinicalTrials.gov/show/NCT04196205
4	An Open-Label Study of JZP-458 (RC-P) in Patients With Acute Lymphoblastic Leukemia (ALL)/Lymphoblastic Lymphoma (LBL)	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Lymphoblastic Leukemia	Drug: IM JZP-458|Drug: IV JZP-458	Children's of Alabama, Birmingham, Alabama, United States|Phoenix Children's Hospital, Phoenix, Arizona, United States|Arkansas Children's Hospital, Little Rock, Arkansas, United States|Kaiser Permanente - Orange County - Anaheim Medical Center, Anaheim, California, United States|Kaiser Permanente - Downey Medical Center, Downey, California, United States|Kaiser Permanente - Fontana Medical Center, Fontana, California, United States|Loma Linda University Medical Center, Loma Linda, California, United States|MemorialCare Miller Children's and Women's Hospital Long Beach, Long Beach, California, United States|Children's Hospital Los Angeles, Los Angeles, California, United States|Kaiser Permanente- Los Angeles Medical Center, Los Angeles, California, United States|Benioff Children's Hospital Oakland, Oakland, California, United States|Kaiser Permanente - Oakland Medical Center, Oakland, California, United States|Children's Hospital of Orange County Main Campus - Orange, Orange, California, United States|Kaiser Permanente - Roseville Medical Center, Roseville, California, United States|University of California Davis Comprehensive Cancer Center, Sacramento, California, United States|Kaiser Permanente - San Diego Medical Center, San Diego, California, United States|University of California San Francisco Benioff Children's Hospital - Mission Bay, San Francisco, California, United States|Kaiser Permanente - Santa Clara Medical Center, Santa Clara, California, United States|Connecticut Children's Medical Center, Hartford, Connecticut, United States|Smilow Cancer Hospital - New Haven, New Haven, Connecticut, United States|Nemours Alfred I. Dupont Hospital for Children, Wilmington, Delaware, United States|Children's National Health System, Washington, District of Columbia, United States|Golisano Children's Hospital of Southwest Florida, Fort Myers, Florida, United States|Memorial Medical Office Centre, Hollywood, Florida, United States|Nemours Children's Specialty Care Jacksonville, Jacksonville, Florida, United States|AdventHealth Orlando, Orlando, Florida, United States|Johns Hopkins All Children's Hospital, Saint Petersburg, Florida, United States|Scottish Rite Hospital, Atlanta, Georgia, United States|Kapi'olani Medical Center for Women and Children, Honolulu, Hawaii, United States|Ann and Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, United States|Norton Children's Hospital, Louisville, Kentucky, United States|Dana-Farber/Boston Children's Cancer and Blood Disorders Center, Boston, Massachusetts, United States|C.S. Mott Children's Hospital, Ann Arbor, Michigan, United States|Children's Minnesota, Minneapolis, Minnesota, United States|Masonic Cancer Center, Minneapolis, Minnesota, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Washington University School of Medicine in Saint Louis, Saint Louis, Missouri, United States|Alliance for Childhood Diseases, Las Vegas, Nevada, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Morristown Medical Center, Morristown, New Jersey, United States|Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, United States|Cohen Children's Medical Center, New Hyde Park, New York, United States|NYU - Stephen D. Hassenfeld Children's Center for Cancer and Blood Disorders, New York, New York, United States|Herbert Irving Comprehensive Cancer Center, New York, New York, United States|Memorial Sloan-Kettering Cancer Center - New York, New York, New York, United States|Wake Forest Baptist Health, Winston-Salem, North Carolina, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Nationwide Children's Hospital, Columbus, Ohio, United States|The Children's Hospital at Oklahoma University Medical Center, Oklahoma City, Oklahoma, United States|Oregon Health and Science University, Portland, Oregon, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|University of Pittsburgh Medical Center - Children's Hospital of Pittsburgh, Pittsburgh, Pennsylvania, United States|East Tennessee Children's Hospital, Knoxville, Tennessee, United States|St. Jude Children's Research Hospital, Memphis, Tennessee, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Children's Blood and Cancer Center, Austin, Texas, United States|Medical City Dallas Hospital, Dallas, Texas, United States|University of Texas Southwestern Medical Center, Dallas, Texas, United States|Texas Children's Hospital, Houston, Texas, United States|Methodist Hospital - San Antonio, San Antonio, Texas, United States|Primary Children's Hospital, Salt Lake City, Utah, United States|Inova Medical Group - Fairfax Hospital, Falls Church, Virginia, United States|Children's Hospital of The King's Daughters, Norfolk, Virginia, United States|Massey Cancer Center, Richmond, Virginia, United States|Seattle Children's Hospital, Seattle, Washington, United States|Providence Sacred Heart Medical Center, Spokane, Washington, United States|CancerCare Manitoba - McDermot and Urgent Care Site, Winnipeg, Manitoba, Canada|McMaster Children's Hospital, Hamilton, Ontario, Canada|Victoria Hospital & Children's Hospital, London, Ontario, Canada|Children's Hospital of Eastern Ontario, Ottawa, Ontario, Canada|SickKids - The Hospital for Sick Children, Toronto, Ontario, Canada|Centre Hospitalier Universitaire Sainte-Justine, Montréal, Quebec, Canada|The Montreal Children's Hospital, Montréal, Quebec, Canada	https://ClinicalTrials.gov/show/NCT04145531
5	Immunotherapy for High Risk/Relapsed CD19+ Acute Lymphoblastic Leukaemia, B-cell Non-Hodgkin's Lymphoma (B-NHL) and Chronic Lymphocytic Leukaemia (CLL)/ Small Lymphocytic Lymphoma (SLL) Using CAR T-cells to Target CD19	Recruiting	No Results Available	Leukemia, Lymphoblastic, Acute, Lymphoma	Biological: CD19CAT-41BBZ CAR T-cells	University College London Hospital, London, United Kingdom	https://ClinicalTrials.gov/show/NCT02935257
6	Pediatric-Inspired Chemotherapy Plus Tyrosine Kinase Inhibitor in Adult Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia	Not yet recruiting	No Results Available	Acute Lymphoblastic Leukemia	Drug: Dasatinib|Drug: Ponatinib|Drug: Berlin-Frankfurt-Münster Chemotherapy|Drug: Methotrexate and Cytarabine	University of Michigan Rogel Cancer Center, Ann Arbor, Michigan, United States	https://ClinicalTrials.gov/show/NCT04845035
7	Study of Chemotherapy-Free Induction Regimen for Ph+ Acute Lymphoblastic Leukemia With Inotuzumab Ozogamicin (InO)	Recruiting	No Results Available	Lymphoblastic Leukemia|Acute Lymphoblastic Leukemia|ph+ Acute Lymphoblastic Leukemia	Drug: Inotuzumab ozogamicin|Drug: Dasatinib|Drug: Dexamethasone|Drug: Methotrexate|Drug: Vincristine|Drug: Ponatinib|Drug: Methotrexate for Injection|Procedure: Allogenic Stem Cell Transplantation	University of Chicago Medical Center, Chicago, Illinois, United States	https://ClinicalTrials.gov/show/NCT04747912
8	Modified BFM-95 Regimen as First-Line Chemotherapy in Adults With T- Lymphoblastic Lymphoma	Recruiting	No Results Available	Lymphoma, Lymphoblastic	Drug: induction phase1|Drug: induction phase2|Drug: protocol M|Drug: maintenance therapy|Drug: reinduction phase1|Drug: reinduction phase2|Drug: Intrathecal (IT)	Sun Yat-sen University Cancer Center, GuangZhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT02396043
9	CTA101 UCAR-T Cell Injection for Treatment of Relapsed or Refractory CD19+ B-cell Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Acute Lymphoblastic Leukemia	Biological: CTA101	Affiliated hospital of Xuzhou medical college, Xuzhou, Jiangsu, China	https://ClinicalTrials.gov/show/NCT04154709
10	Study of TBI-1501 for Relapsed or Refractory Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Lymphoblastic Leukemia, Acute Adult	Biological: TBI-1501	University Of Fukui Hospital, Yoshida, Fukui, Japan|Kyushu University Hospital, Higashi-ku, Fukuoka, Japan|Hokkaido University Hospital, Sapporo-shi, Hokkaido, Japan|Kobe City Medical Center General Hospital, Kobe, Hyogo, Japan|Mie University Hospital, Tsu-shi, Mie, Japan|Tohoku University Hospital, Sendai, Miyagi, Japan|Jichi Medical University hospital, Shimotsuke-shi, Tochigi, Japan|Cancer Institute Hospital Of JFCR, Kōto, Tokyo, Japan|The Institute of Medical Science, The University of Tokyo, Minato-ku, Tokyo, Japan|Akita University Hospital, Akita, Japan|Okayama University Hospital, Okayama, Japan	https://ClinicalTrials.gov/show/NCT03155191
