Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
1	Study of Brentuximab Vedotin as Therapy After Autologous Stem Cell Transplant in Cluster of Differentiation Antigen 30 (CD30) Positive Peripheral TCell Lymphomas	Recruiting	No Results Available	T Cell Lymphoma	Drug: Brentuximab Vedotin	The University of Kansas Cancer Center, Westwood Campus, Kansas City, Kansas, United States	https://ClinicalTrials.gov/show/NCT04334174
2	Efficacy and Safety of Decitabine Plus CHOP vs CHOP in Patients With Untreated Peripheral T-Cell Lymphoma	Not yet recruiting	No Results Available	Peripheral T-cell Lymphoma	Drug: Decitabine|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Vincristine|Drug: Prednisone		https://ClinicalTrials.gov/show/NCT03553537
3	Targeted Drug Combined With CHOP in the Treatment of Newly Diagnosed Peripheral T-cell Lymphoma	Recruiting	No Results Available	Peripheral T-cell Lymphoma	Drug: CHOP for 6 cycles|Drug: CHOP+X for 6 cycles	Shanghai Ruijin Hospital, Shanghai, China	https://ClinicalTrials.gov/show/NCT04480099
4	A Pilot of a Microdevice For In Situ Candidate Drug Screening in Cutaneous Lesions of T-Cell Lymphoma	Recruiting	No Results Available	Cutaneous T Cell Lymphoma|Peripheral T Cell Lymphoma	Device: Microdevices|Other: Standard of care therapy|Other: Standard of care systemic therapy	Dana Farber Cancer Institute, Boston, Massachusetts, United States	https://ClinicalTrials.gov/show/NCT04045470
5	Dexamethasone, Azacytidine,Pegaspargase and Tislelizumab for NK/T Cell Lymphoma	Not yet recruiting	No Results Available	NK/T Cell Lymphoma	Drug: Dexamethasone, azacytidine, Pegaspargase, Tislelizumab	National Cancer Center/Cancer Hosptial, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, Beijing, China|Peking University International Hospital, Beijing, Beijing, China|Peking University Cancer Hospital & Institute, Beijing, Beijing, China	https://ClinicalTrials.gov/show/NCT04899414
6	CD30 CAR for Relapsed/Refractory CD30+ T Cell Lymphoma	Recruiting	No Results Available	Peripheral T Cell Lymphoma	Biological: ATLCAR.CD30 T cells|Drug: Bendamustine|Drug: Fludarabine|Drug: Cyclophosphamide	Lineberger Comprehensive Cancer Center at University of North Carolina, Chapel Hill, North Carolina, United States	https://ClinicalTrials.gov/show/NCT04083495
7	Sintilimab Plus Chidamide in the Treatment of Relapsed and Refractory Cutaneous T-cell Lymphoma: a Multicenter Phase II Study	Recruiting	No Results Available	Cutaneous T-cell Lymphoma	Drug: Sintilimab|Drug: Chidamide	Peking Union Medical College Hospital, Beijing, Beijing, China	https://ClinicalTrials.gov/show/NCT04296786
8	Chidamide Plus CHOEP Combined With Upfront ASCT in Untreated Peripheral T-cell Lymphoma	Recruiting	No Results Available	T Cell Non-Hodgkin's Lymphoma	Drug: Chidamide|Drug: Cyclophosphamide|Drug: Epirubicin|Drug: Vindesine|Drug: Etoposide|Drug: Prednisone	Peking Union medical college hospital, Beijing, Beijing, China|Tianjin medical universty cancer institute & hospital, Tianjin, Tianjin, China	https://ClinicalTrials.gov/show/NCT02987244
9	Efficacy and Safety of Cladribine Combined With BEAC Pretreatment Regimen in the Treatment of Peripheral T-cell Lymphoma: a Multicenter Clinical Study	Recruiting	No Results Available	Peripheral T-cell Lymphoma	Drug: BEAC|Drug: Cladribine combined with BEAC	Ruijin Hospital, Shanghai, Shanghai, China	https://ClinicalTrials.gov/show/NCT04880746
10	A Dose Escalation Study Evaluating CPI-818 in Relapsed/Refractory T-Cell Lymphoma	Recruiting	No Results Available	T-cell Lymphoma	Drug: CPI-818	Stanford University, Palo Alto, California, United States|University of Michigan, Ann Arbor, Michigan, United States|Washington University, Saint Louis, Missouri, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Ohio State University, Columbus, Ohio, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|Concord Repatriation General Hospital, Concord, New South Wales, Australia|Liverpool Hospital, Liverpool, New South Wales, Australia|Royal Adelaide Hospital, Adelaide, South Australia, Australia|Epworth Healthcare, Melbourne, Victoria, Australia|Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia|Linear Clinical Research, Perth, Western Australia, Australia|Seoul National University Hospital, Seoul, Gyeonggido, Korea, Republic of|Asan Medical Center, Seoul, Gyeonggido, Korea, Republic of|Samsung Medical Center, Seoul, Gyeonggido, Korea, Republic of|Seoul St. Mary's Hospital, Seoul, Gyeonggido, Korea, Republic of|Inje University Busan-Paik Hospital, Busan, Korea, Republic of|Pusan National University Hospital, Busan, Korea, Republic of|Gachon University, Incheon, Korea, Republic of	https://ClinicalTrials.gov/show/NCT03952078
11	Micro Needle Array-Doxorubicin (MNA-D) in Patients With Cutaneous T-cell Lymphoma (CTCL)	Recruiting	No Results Available	Cutaneous T Cell Lymphoma	Drug: Micro needle array-Doxorubicin (MNA-D)	University Of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT02192021
12	PD-1 Antibody, Chidamide, Lenalidomide and Etoposide for Relapsed or Refractory NK/T Cell Lymphoma	Recruiting	No Results Available	NK/T Cell Lymphoma	Drug: PD-1 Antibody, chidamide, lenalidomide and etoposide	Oncology Department of The First Affilliated Hospital of Zhengzhou University, Zhengzhou, Henan, China	https://ClinicalTrials.gov/show/NCT04038411
13	Sintilimab Combined With Chidamide in Treating Peripheral T Cell Lymphoma	Recruiting	No Results Available	Peripheral T-cell Lymphoma	Drug: PD-1 antibody+ HDAC inhibitor	Dongmei Ji, Shanghai, Shanghai, China	https://ClinicalTrials.gov/show/NCT04512534
14	PD-1 Antibody, Chidamide, Lenalidomide and Gemcitabine for Peripheral T-cell Lymphoma	Recruiting	No Results Available	Peripheral T-cell Lymphoma	Drug: PD-1 blocking antibody, chidamide, lenalidomide and gemcitabine	Oncology Department of The First Affilliated Hospital of Zhengzhou University, Zhengzhou, Henan, China	https://ClinicalTrials.gov/show/NCT04040491
